index,name,hex,L,C,H,a,b
3,purple_10_0,#d1a0c0,71.21725671179036,25.108209918134275,338.00960301889467,23.28150296208903,-9.401799036319392
4,purple_10_0,#c792b5,66.54873000509514,27.563303113896026,337.9339019162711,25.54432094531056,-10.354870640982373
5,purple_10_0,#bc86a9,62.17503235608041,28.15140418401089,338.66033120924016,26.221330033010638,-10.244189027516049
6,purple_10_0,#b0799f,57.472194258429255,29.8707525967488,336.93134520677336,27.48216768532946,-11.704371833277015
7,purple_10_0,#a06f99,53.106055024096705,30.371016646462827,330.4355081164592,26.416736849345092,-14.985148193200338
8,purple_10_0,#916491,48.4849968080496,31.288021989759404,326.07916861954607,25.96309623777665,-17.460181951503717
9,purple_10_0,#865986,44.13954680392424,31.700035392909673,326.1958351156218,26.340955142290625,-17.636505495804975
10,purple_10_0,#7c4d79,39.53656603110787,32.07063744357852,328.2548665785399,27.272771220784087,-16.87369953437099
0,brown_10_0,#eedbbd,88.21630935286564,17.232979521851302,83.85581135019936,1.8444614853792562,17.133988007159886
1,brown_10_0,#ecca96,83.06128420886137,30.803067341595142,81.00675386103785,4.815075054429629,30.424398266375864
2,brown_10_0,#e9b97a,78.12809578402425,39.62172101435312,76.00067526486873,9.584908759352583,38.444899534452134
3,brown_10_0,#e4a865,73.18217350331,45.3783299388455,71.05928925491224,14.729332356886449,42.921318669853335
4,brown_10_0,#dc9856,68.27594334823044,48.26919851931506,66.99717003645452,18.862472980686494,44.4310999047955
5,brown_10_0,#d18954,63.41716037490204,45.21611670971921,60.52316381782293,22.24956907524711,39.36310310776776
6,brown_10_0,#c7784c,58.13179405564655,45.62117672416083,54.08520629705504,26.760537772218097,36.94814452497991
7,brown_10_0,#c0673f,53.242557396538984,49.738773634198196,49.66591006321022,32.193094881407816,37.91503982050769
8,brown_10_0,#b85536,48.20537570789807,52.748135268690305,44.087184352106874,37.88803284079367,36.69962863271222
9,brown_10_0,#ad4433,43.15269197204498,52.816788710797425,37.44821014251585,41.931421676197346,32.114934935851046
10,brown_10_0,#9f3632,38.27298863111253,50.6325481128288,31.31434452536172,43.25684087869256,26.31540700033719
0,gray_10_0,#d5d5d5,85.2704731636151,0.000015671211252426213,NaN,-0.000014550354365816531,0.0000058201417463266125
1,gray_10_0,#c6c8c7,80.42519156113995,0.9090109840525721,163.57425147250774,-0.8719115136593958,0.25704334552056896
2,gray_10_0,#b6b9b9,74.9167134986884,1.1077792034150955,199.31960194741265,-1.045397742903742,-0.3664946420491644
3,gray_10_0,#a7acad,69.99159418414385,1.9318046204824992,215.71707165125252,-1.5684507571390172,-1.1277549885270188
4,gray_10_0,#979fa1,64.92167311123512,3.1791069203212747,219.63770004043113,-2.4482100758664305,-2.0280503532360106
5,gray_10_0,#889296,59.88302435706349,4.352159429891195,230.41284158778174,-2.773419168147051,-3.354018160497252
6,gray_10_0,#7a858b,54.841235623487364,5.347659498884557,239.2970511890782,-2.7304463338710394,-4.598056647526261
7,gray_10_0,#6c7880,49.71280702987525,6.45977638331363,245.65916369372798,-2.6624862181302555,-5.88556522864907
8,gray_10_0,#606b76,44.6741099859293,7.703152289652934,257.9006204860035,-1.6146421445762393,-7.532030665268397
9,gray_10_0,#555f6a,39.8421074695986,7.656002769702017,260.61515345217794,-1.248426323326196,-7.553529646788393
10,gray_10_0,#49525e,34.516582837584245,8.201514756225178,265.77700005854183,-0.6039475551073425,-8.17924762109934
0,gray_warm_10_0,#dcd4d0,85.43176609264363,3.591774439298912,55.260865362039794,2.046740116394885,2.9515586592071763
1,gray_warm_10_0,#cec5c1,80.12617050909411,3.9557893921611447,52.07506767902788,2.4313409507738526,3.120392747111289
2,gray_warm_10_0,#c0b8b4,75.31621910160949,3.6939851033324396,55.20253866222174,2.1080730151530336,3.0334063536601175
3,gray_warm_10_0,#b3aaa7,70.26241503826691,3.804451727280861,45.12741151138755,2.6841647383769596,2.6961291887563688
4,gray_warm_10_0,#a59c99,65.02327340601927,3.869973850158085,45.1060693252453,2.7314141242518186,2.7415460023032745
5,gray_warm_10_0,#98908c,60.35178086707103,3.8770842416984483,55.08567334261204,2.2190527805504567,3.1792431448943503
6,gray_warm_10_0,#8b827f,55.058761015425276,4.012326947845001,45.05682253149058,2.8343284888499576,2.8399559069986813
7,gray_warm_10_0,#7e7673,50.252097246971175,3.7169541067756158,47.74274597867236,2.49950488593359,2.751040377215541
8,gray_warm_10_0,#726866,44.85404391489677,4.373407623046903,35.65391260925884,3.5536239583788265,2.5492059547554735
9,gray_warm_10_0,#665c5a,39.94434074718665,4.479387622707765,35.656592688950525,3.6396161523030157,2.6111506540915097
10,gray_warm_10_0,#59504e,34.825356044062104,4.169819204147116,37.2815993198011,3.3177919337442354,2.525796682168968
0,teal_10_0,#bbdfdf,86.3384436072437,12.369796383057059,198.54787484783176,-11.727286803629777,-3.9347943762924054
1,teal_10_0,#a2d4d5,81.6040508379512,16.891487592409685,200.01109649271805,-15.871687069143213,-5.780302990650443
2,teal_10_0,#8ac9c9,76.91537849047651,20.94935254588112,197.84934498276945,-19.940971486512804,-6.421294905678998
3,teal_10_0,#75bcbb,71.78098062621774,23.370803015668056,196.23463786746512,-22.43888868310423,-6.533812689725349
4,teal_10_0,#61b0af,67.03997324708831,25.48387664647688,196.07255212205814,-24.487760152165638,-7.055322222468541
5,teal_10_0,#4da5a4,62.64768266602792,27.50908669530033,195.88454549319422,-26.458656900182675,-7.529231424784699
6,teal_10_0,#379998,57.903599643320774,29.18105966501406,195.66325436200884,-28.09742373573704,-7.87838959353695
7,teal_10_0,#2b8b8c,52.80754425729887,27.981337188727345,197.93975738284763,-26.62090978290943,-8.618723408919271
8,teal_10_0,#1e7f7f,48.24191023424049,27.542481665352778,196.6016955280009,-26.394349074221445,-7.869347700695362
9,teal_10_0,#127273,43.35963349420509,26.230973384663802,197.8653344889959,-24.966120801630716,-8.04715955013462
10,teal_10_0,#006667,38.692292334734795,25.415505539598147,197.80716171284521,-24.19787852672653,-7.772425402609606
0,blue_teal_10_0,#bce4d8,87.55020649093468,15.42329861364333,174.29680015335464,-15.346953618865234,1.5326952554280293
1,blue_teal_10_0,#9dd3d1,80.93732526217048,18.32679095686769,194.7328168447001,-17.724247327832067,-4.660721343157648
2,blue_teal_10_0,#81c3cb,74.82911470749387,21.669624786500513,209.44859397489117,-18.869847509004998,-10.653707963644177
3,blue_teal_10_0,#65b3c2,68.6783222831802,25.0567469178762,217.02838483330285,-20.003734869293964,-15.089438604053207
4,blue_teal_10_0,#45a2b9,62.173736844104255,28.583675054604935,224.56217749351688,-20.36556552363328,-20.056675211256824
5,blue_teal_10_0,#368fae,55.566484462941375,28.958182205903594,235.93164805474316,-16.22183850630321,-23.988086045904744
6,blue_teal_10_0,#347da0,49.41565737880532,27.76723599170437,246.1926571416277,-11.208593330587657,-25.404464768392753
7,blue_teal_10_0,#306a93,42.826201885200945,28.487144414283655,259.317325660013,-5.280646998694377,-27.993430732145576
8,blue_teal_10_0,#2c5985,36.69238345821042,29.173592795220905,268.9055465234644,-0.5572347326499305,-29.16827053553388
0,orange_gold_10,#f4d166,84.89253371236539,56.63742265085034,90.0655127351244,-0.0647599472645144,56.637385627165784
1,orange_gold_10,#f8be5c,80.49364929042726,57.36892078200221,79.20449384237719,10.745443880332328,56.35360243592484
2,orange_gold_10,#f8aa4c,75.5957130107795,61.69809211376973,70.77809841821664,20.312715718016015,58.258459906165385
3,orange_gold_10,#f5983b,71.00155579136047,66.82468957299668,65.46188758572492,27.752189692576977,60.78943250100789
4,orange_gold_10,#f3852a,66.52165614119106,72.8475562647469,60.18780278483655,36.21679498899611,63.20688423321064
5,orange_gold_10,#ef701b,61.67465343847965,78.16723373694772,55.03177694837308,44.79936417115565,64.05570544414286
6,orange_gold_10,#e2621f,57.08318666459803,74.67609251543676,51.29811452968511,46.69259626587979,58.277956787499164
7,orange_gold_10,#d65322,52.51178896293018,71.99679535319042,46.78722811131286,49.296895825630905,52.47241754565989
8,orange_gold_10,#c54923,47.9567900604964,66.86938419319286,44.48388115961575,47.70780203472336,46.85595124840041
9,orange_gold_10,#b14223,43.31227165099223,60.023080208007656,43.365041628426866,43.63640442955086,41.214492185608634
10,orange_gold_10,#9e3a26,38.616269476771556,52.66457242491712,39.79930609124631,40.46173154311614,33.710613599164006
0,green_gold_10_0,#f4d166,84.89253371236539,56.63742265085034,90.0655127351244,-0.0647599472645144,56.637385627165784
1,green_gold_10_0,#d5ca60,80.31072414609014,54.304267818625135,100.28903669686542,-9.699499757226393,53.43101353873545
2,green_gold_10_0,#b6c35c,75.914655286614,53.15639411898344,111.16943065858197,-19.196213957258344,49.56922034327207
3,green_gold_10_0,#98bb59,71.51217733614766,52.981186764541455,121.25576633895514,-27.489781225211008,45.29147910114284
